Id,Frame,Distance,Horizontal Distance,Vertical Distance,Height,Velocity,Acceleration
110,252,3.223,2.565,0.658,1.248,1.597,0.358
111,254,3.246,2.586,0.66,1.249,1.28,-0.317
112,256,3.272,2.61,0.662,1.25,1.407,0.128
113,258,3.305,2.634,0.671,1.259,1.458,0.051
114,260,3.34,2.658,0.682,1.27,1.432,-0.026
115,262,3.374,2.684,0.69,1.277,1.576,0.144
116,264,3.41,2.71,0.7,1.286,1.525,-0.051
117,266,3.436,2.733,0.703,1.289,1.391,-0.134
118,268,3.467,2.759,0.709,1.294,1.544,0.153
119,270,3.495,2.783,0.712,1.297,1.487,-0.058
120,272,3.517,2.803,0.714,1.298,1.157,-0.33
121,274,3.542,2.828,0.714,1.298,1.513,0.356
122,276,3.565,2.85,0.716,1.296,1.294,-0.219
123,278,3.596,2.875,0.721,1.29,1.523,0.229
124,280,3.628,2.898,0.73,1.281,1.394,-0.129
125,282,3.665,2.922,0.743,1.267,1.417,0.024
126,284,3.703,2.945,0.758,1.252,1.367,-0.05
127,286,3.745,2.971,0.773,1.236,1.605,0.238
128,288,3.773,2.995,0.777,1.24,1.418,-0.187
129,290,3.8,3.02,0.78,1.242,1.494,0.076
130,292,3.827,3.043,0.784,1.238,1.355,-0.139
131,294,3.846,3.059,0.788,1.234,0.954,-0.401
132,296,3.862,3.071,0.79,1.231,0.754,-0.2
133,298,3.885,3.093,0.792,1.231,1.297,0.543
